CampaignID,Campaign_Type,ListSegment
B7270,Acquisition,2
B7386,Acquisition,1
B7387,Acquisition,1
B7391,X Sell,1
B7432,Acquisition,2
B7433,Acquisition,2
B7434,Acquisition,2
B7435,Acquisition,1
B7436,Acquisition,1
B7437,Acquisition,1
B7438,Acquisition,1
B7439,Acquisition,1
B7440,Acquisition,1
B7456,X Sell,1
B7461,X Sell,1
B7462,Acquisition,1
B7517,Acquisition,3
B7521,Acquisition,2
B7523,X Sell,1
B7524,Acquisition,1
B7531,Acquisition,1
B7556,Acquisition,1
B7557,Acquisition,1
B7558,Acquisition,1
B7587,Upgrade,1
B7593,Acquisition,2
B7594,Acquisition,2
B7595,Acquisition,2
B7631,Acquisition,1
B7632,Acquisition,1
B7633,Acquisition,1
B7638,Acquisition,2
B7639,Acquisition,2
B7662,Acquisition,1
B7663,X Sell,1
B7667,X Sell,1
B7669,Acquisition,3
B7670,Acquisition,1
B7695,Acquisition,2
B7696,Acquisition,2
B7697,Acquisition,2
B7698,Acquisition,1
B7699,Acquisition,1
B7700,Acquisition,1
B7709,Acquisition,1
B7710,Acquisition,1
B7778,Acquisition,1
B7779,Acquisition,1
B7780,Acquisition,3
B7781,X Sell,1
B7790,Acquisition,2
B7791,Acquisition,2
B7792,Acquisition,2
B7793,Acquisition,1
B7794,Acquisition,1
B7795,Acquisition,1
B7797,Acquisition,1
B7851,Upgrade,1
B7857,Acquisition,1
B7860,X Sell,1
B7871,Acquisition,1
B7872,Acquisition,1
B7873,Acquisition,1
B7874,Acquisition,1
B7875,Acquisition,1
B7889,X Sell,1
B7913,X Sell,1
B7960,X Sell,1
B7961,Acquisition,1
B7962,Acquisition,1
B7963,Acquisition,1
B8040,Acquisition,3
B8057,Acquisition,1
B8058,Acquisition,1
B8059,Acquisition,1
B8109,Acquisition,3
B8124,Acquisition,3
B8159,Acquisition,1
B8160,Acquisition,1
B8161,Acquisition,1
B8162,X Sell,1
B8163,X Sell,1
B8168,Acquisition,3
B8206,Acquisition,1
B8207,Acquisition,1
B8208,Acquisition,1
B8273,Acquisition,1
B8274,Acquisition,1
B8275,Acquisition,1
B8299,Acquisition,3
B8345,Acquisition,3
B8346,Acquisition,1
B8349,Acquisition,3
B8356,Acquisition,1
B8357,Acquisition,1
B8358,Acquisition,1
B8367,Acquisition,1
B8368,Acquisition,1
B8369,Acquisition,1
B8423,Acquisition,3
B8461,Acquisition,3
B8468,Acquisition,1
